"No.","Time","Source","Destination","Protocol","Length","Info"
"330","0.898596","host","1.16.1","USB","27","URB_INTERRUPT in"
"331","0.908558","1.16.1","host","USB","52","URB_INTERRUPT in"
"332","0.908601","host","1.16.1","USB","27","URB_INTERRUPT in"
"335","0.918547","1.16.1","host","USB","52","URB_INTERRUPT in"
"336","0.918583","host","1.16.1","USB","27","URB_INTERRUPT in"
"339","0.928559","1.16.1","host","USB","52","URB_INTERRUPT in"
"340","0.928606","host","1.16.1","USB","27","URB_INTERRUPT in"
"343","0.938559","1.16.1","host","USB","52","URB_INTERRUPT in"
"344","0.938599","host","1.16.1","USB","27","URB_INTERRUPT in"
"347","0.948557","1.16.1","host","USB","52","URB_INTERRUPT in"
"348","0.948574","host","1.16.1","USB","27","URB_INTERRUPT in"
"351","0.958557","1.16.1","host","USB","52","URB_INTERRUPT in"
"352","0.958593","host","1.16.1","USB","27","URB_INTERRUPT in"
"355","0.968561","1.16.1","host","USB","52","URB_INTERRUPT in"
"356","0.968612","host","1.16.1","USB","27","URB_INTERRUPT in"
"361","0.978555","1.16.1","host","USB","52","URB_INTERRUPT in"
"362","0.978589","host","1.16.1","USB","27","URB_INTERRUPT in"
"365","0.988558","1.16.1","host","USB","52","URB_INTERRUPT in"
"366","0.988595","host","1.16.1","USB","27","URB_INTERRUPT in"
"378","0.998548","1.16.1","host","USB","52","URB_INTERRUPT in"
"379","0.998583","host","1.16.1","USB","27","URB_INTERRUPT in"
"385","1.008550","1.16.1","host","USB","52","URB_INTERRUPT in"
"386","1.008572","host","1.16.1","USB","27","URB_INTERRUPT in"
"389","1.018550","1.16.1","host","USB","52","URB_INTERRUPT in"
"390","1.018570","host","1.16.1","USB","27","URB_INTERRUPT in"
"393","1.028562","1.16.1","host","USB","52","URB_INTERRUPT in"
"394","1.028600","host","1.16.1","USB","27","URB_INTERRUPT in"
"399","1.038549","1.16.1","host","USB","52","URB_INTERRUPT in"
"400","1.038571","host","1.16.1","USB","27","URB_INTERRUPT in"
"403","1.048558","1.16.1","host","USB","52","URB_INTERRUPT in"
"404","1.048608","host","1.16.1","USB","27","URB_INTERRUPT in"
"407","1.058556","1.16.1","host","USB","52","URB_INTERRUPT in"
"408","1.058602","host","1.16.1","USB","27","URB_INTERRUPT in"
"411","1.068559","1.16.1","host","USB","52","URB_INTERRUPT in"
"412","1.068605","host","1.16.1","USB","27","URB_INTERRUPT in"
"415","1.078559","1.16.1","host","USB","52","URB_INTERRUPT in"
"416","1.078597","host","1.16.1","USB","27","URB_INTERRUPT in"
"419","1.088557","1.16.1","host","USB","52","URB_INTERRUPT in"
"420","1.088599","host","1.16.1","USB","27","URB_INTERRUPT in"
